candidate,matrix_id,setting_id,arm,terminal8_f32,capture_any_f32,arrival_f16,occupancy,extinction
02,11,k008_l04_u1p0_nominal,native_correct,0.0,0.125,0.75,0.35286833027897724,0.0
02,11,k008_l04_u1p0_nominal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k008_l04_u1p0_nominal,native_opposite,0.0,0.125,1.0,0.43791519425347214,0.0
02,11,k008_l04_u1p0_nominal,native_shuffled,0.0,0.0,0.75,0.34819755682341436,0.0
02,11,k008_l04_u1p0_nominal,stranger_correct,0.0,0.0,0.625,0.3284752240659405,0.0
02,11,k008_l04_u1p0_nominal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k008_l04_u2p0_ideal,native_correct,0.0,0.0,0.625,0.39518516512597346,0.0
02,11,k008_l04_u2p0_ideal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k008_l04_u2p0_ideal,native_opposite,0.0,0.0,0.875,0.414315962421289,0.0
02,11,k008_l04_u2p0_ideal,native_shuffled,0.0,0.0,0.75,0.35389865830065603,0.0
02,11,k008_l04_u2p0_ideal,stranger_correct,0.0,0.125,0.75,0.39386770303872254,0.0
02,11,k008_l04_u2p0_ideal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k008_l04_u2p0_nominal,native_correct,0.0,0.25,0.875,0.4915430738850655,0.0
02,11,k008_l04_u2p0_nominal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k008_l04_u2p0_nominal,native_opposite,0.0,0.0,0.75,0.40880894339242446,0.0
02,11,k008_l04_u2p0_nominal,native_shuffled,0.0,0.125,1.0,0.4673796310303225,0.0
02,11,k008_l04_u2p0_nominal,stranger_correct,0.125,0.125,0.875,0.48273295879428546,0.0
02,11,k008_l04_u2p0_nominal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k008_l08_u0p5_ideal,native_correct,0.0,0.0,0.75,0.3140668871725817,0.0
02,11,k008_l08_u0p5_ideal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k008_l08_u0p5_ideal,native_opposite,0.0,0.125,0.875,0.3922452008086521,0.0
02,11,k008_l08_u0p5_ideal,native_shuffled,0.0,0.125,0.75,0.37924397339673127,0.0
02,11,k008_l08_u0p5_ideal,stranger_correct,0.0,0.0,1.0,0.44565824391584186,0.0
02,11,k008_l08_u0p5_ideal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k008_l08_u0p5_nominal,native_correct,0.0,0.0,1.0,0.3889617159805708,0.0
02,11,k008_l08_u0p5_nominal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k008_l08_u0p5_nominal,native_opposite,0.0,0.0,0.875,0.451391358979084,0.0
02,11,k008_l08_u0p5_nominal,native_shuffled,0.0,0.0,0.625,0.37411389758157665,0.0
02,11,k008_l08_u0p5_nominal,stranger_correct,0.0,0.125,0.75,0.3750280529920579,0.0
02,11,k008_l08_u0p5_nominal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k008_l08_u1p0_ideal,native_correct,0.125,0.125,0.875,0.37980552480957097,0.0
02,11,k008_l08_u1p0_ideal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k008_l08_u1p0_ideal,native_opposite,0.0,0.0,1.0,0.3634223990690466,0.0
02,11,k008_l08_u1p0_ideal,native_shuffled,0.0,0.0,1.0,0.4242646382194102,0.0
02,11,k008_l08_u1p0_ideal,stranger_correct,0.0,0.0,0.75,0.3149733745735577,0.0
02,11,k008_l08_u1p0_ideal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k008_l08_u1p0_nominal,native_correct,0.0,0.0,1.0,0.4019500468040601,0.0
02,11,k008_l08_u1p0_nominal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k008_l08_u1p0_nominal,native_opposite,0.0,0.0,0.875,0.3722333298265589,0.0
02,11,k008_l08_u1p0_nominal,native_shuffled,0.0,0.125,1.0,0.4575596694086117,0.0
02,11,k008_l08_u1p0_nominal,stranger_correct,0.0,0.0,0.875,0.35446770274696354,0.0
02,11,k008_l08_u1p0_nominal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k008_l08_u2p0_ideal,native_correct,0.0,0.0,0.75,0.43639251536464196,0.0
02,11,k008_l08_u2p0_ideal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k008_l08_u2p0_ideal,native_opposite,0.0,0.0,0.625,0.3198583036198606,0.0
02,11,k008_l08_u2p0_ideal,native_shuffled,0.0,0.0,0.625,0.35347322524711655,0.0
02,11,k008_l08_u2p0_ideal,stranger_correct,0.0,0.0,0.75,0.3490923055934214,0.0
02,11,k008_l08_u2p0_ideal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k008_l08_u2p0_nominal,native_correct,0.0,0.0,0.875,0.4516839906142461,0.0
02,11,k008_l08_u2p0_nominal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k008_l08_u2p0_nominal,native_opposite,0.0,0.0,1.0,0.42187886704948896,0.0
02,11,k008_l08_u2p0_nominal,native_shuffled,0.0,0.125,0.875,0.4069260595423263,0.0
