candidate,matrix_id,setting_id,arm,n_futures,horizon,terminal8_f16,terminal8_f32,terminal8_f64,capture_any_f32,occupancy,origin_correct,carrier_origin_correct,final_target_h,final_other_h,extinction
02,2,k008_l01_u2p0_nominal,state_a_carrier_a,48,64,0.0,0.0,0.0,0.0625,0.38948389099391906,0.5833333333333334,0.5833333333333334,0.37313368960581283,0.30527558036726765,0.0
02,2,k008_l01_u2p0_nominal,state_a_carrier_b,48,64,0.0,0.0,0.0,0.0,0.2693517270143461,0.22916666666666666,0.3541666666666667,0.2019022001805265,0.47359264574038423,0.0
02,2,k008_l01_u2p0_nominal,state_b_carrier_a,48,64,0.0,0.020833333333333332,0.0,0.10416666666666667,0.34737708357190145,0.625,0.625,0.3777814325521989,0.23025399827030965,0.0
02,2,k008_l01_u2p0_nominal,state_b_carrier_b,48,64,0.0,0.0,0.020833333333333332,0.0,0.30375775409929573,0.4166666666666667,0.5,0.2798346796497258,0.3167608355863678,0.0
02,10,k008_l01_u2p0_nominal,state_a_carrier_a,48,64,0.14583333333333334,0.041666666666666664,0.020833333333333332,0.6458333333333334,0.7998843608495171,0.8125,0.875,0.7002412242553535,0.16861583314415585,0.0
02,10,k008_l01_u2p0_nominal,state_a_carrier_b,48,64,0.0,0.0,0.0,0.0,0.12158351940986079,0.14583333333333334,0.10416666666666667,0.14607756385213141,0.7566610983206351,0.0
02,10,k008_l01_u2p0_nominal,state_b_carrier_a,48,64,0.10416666666666667,0.0,0.041666666666666664,0.3125,0.6892258190420982,0.8958333333333334,0.9166666666666666,0.7169416810903965,0.13488178949331342,0.0
02,10,k008_l01_u2p0_nominal,state_b_carrier_b,48,64,0.0,0.0,0.0,0.0625,0.21538688969068764,0.125,0.125,0.13086431038189741,0.7749980342340725,0.0
02,23,k008_l01_u2p0_nominal,state_a_carrier_a,48,64,0.020833333333333332,0.0,0.0,0.10416666666666667,0.30669666730872774,0.5833333333333334,0.6666666666666666,0.23540161639033733,0.31110310155898113,0.0
02,23,k008_l01_u2p0_nominal,state_a_carrier_b,48,64,0.0,0.020833333333333332,0.0,0.041666666666666664,0.2561659094409552,0.375,0.375,0.1900109780677283,0.29617927171959874,0.0
